,title,authors,citation_count
0,common risk factors in the returns on stocks and bonds,"fama, eugene f and french, kenneth r",100
1,the cross section of expected stock returns,"fama, eugene f and french, kenneth r",97
2,returns to buying winners and selling losers  implications for stock market efficiency,"jegadeesh, narasimhan and titman, sheridan",63
3,on persistence in mutual fund performance,"carhart, mark m",54
4,risk  return  and equilibrium  empirical tests,"fama, eugene f and macbeth, james d",52
5,liquidity risk and expected stock returns,"pastor, lubos and stambaugh, robert f",32
6,evidence of predictable behavior of security returns,"jegadeesh, narasimhan",30
7,the cross section of volatility and expected returns,"ang, andrew and hodrick, robert j and xing, yuhang and zhang, xiaoyan",29
8,illiquidity and stock returns  cross section and time series effects,"amihud, yakov",29
9,capital asset prices  a theory of market equilibrium under conditions of risk,"sharpe, william f",28
10,an intertemporal capital asset pricing model,"merton, robert c",28
11,the conditional capm and the cross section of expected returns,"jagannathan, ravi and wang, zhenyu",27
12,the relationship between return and market value of common stocks,"banz, rolf w",25
13,do stock prices fully reflect information in accruals and cash flows about future earnings ,"sloan, richard g",20
14,evidence on the characteristics of cross sectional variation in stock returns,"daniel, kent and titman, sheridan",19
15,asset pricing and the bid ask spread,"amihud, yakov and mendelson, haim",19
16,a cross sectional test of an investment based asset pricing model,"cochrane, john h",17
17,the capital asset pricing model  some empirical tests,"black, fischer and jensen, michael c and scholes, myron and others",16
18,understanding risk and return,"campbell, john y",15
19,financial ratios and the probabilistic prediction of bankruptcy,"ohlson, james a",15
20,economic forces and the stock market,"chen, nai-fu and roll, richard and ross, stephen a",15
21,conditional skewness in asset pricing tests,"harvey, campbell r and siddique, akhtar",15
22,expectations and the cross section of stock returns,"la porta, rafael",14
23,capital market equilibrium with restricted borrowing,"black, fischer",14
24,asset prices in an exchange economy,"lucas jr, robert e",14
25,differences of opinion and the cross section of stock returns,"diether, karl b and malloy, christopher j and scherbina, anna",13
26,an intertemporal asset pricing model with stochastic consumption and investment opportunities,"breeden, douglas t",13
27,alternative factor specifications  security characteristics  and the cross section of expected stock returns,"brennan, michael j and chordia, tarun and subrahmanyam, avanidhar",13
28,asset growth and the cross section of stock returns,"cooper, michael j and gulen, huseyin and schill, michael j",12
29,market reactions to tangible and intangible information,"daniel, kent and titman, sheridan",11
30,market microstructure and asset pricing  on the compensation for illiquidity in stock returns,"brennan, michael j and subrahmanyam, avanidhar",11
31,do industries explain momentum ,"moskowitz, tobias j and grinblatt, mark",11
32,value investing  the use of historical financial statement information to separate winners from losers,"piotroski, joseph d",10
33,the new issues puzzle,"loughran, tim and ritter, jay r",10
34,price momentum and trading volume,"lee, charles mc and swaminathan, bhaskaran",10
35,empirical tests of the consumption oriented capm,"breeden, douglas t and gibbons, michael r and litzenberger, robert h",10
36,book to market equity  distress risk  and stock returns,"griffin, john m and lemmon, michael l",10
37,bad beta  good beta,"campbell, john y and vuolteenaho, tuomo",10
38,skewness preference and the valuation of risk assets,"kraus, alan and litzenberger, robert h",9
39,liquidity and stock returns  an alternative test,"datar, vinay t and naik, narayan y and radcliffe, robert",9
40,earnings releases  anomalies  and the behavior of security returns,"foster, george and olsen, chris and shevlin, terry",9
41,debt equity ratio and expected common stock returns  empirical evidence,"bhandari, laxmi chand",9
42,capital investments and stock returns,"titman, sheridan and wei, kc john and xie, feixue",9
43,asset pricing with liquidity risk,"acharya, viral v and pedersen, lasse heje",9
44,the other side of value  the gross profitability premium,"novy-marx, robert",8
45,industry concentration and average stock returns,"hou, kewei and robinson, david t",8
46,financial statement analysis and the prediction of stock returns,"ou, jane a and penman, stephen h",8
47,does the stock market overreact ,"de bondt, werner fm and thaler, richard",8
48,trading activity and expected stock returns,"chordia, tarun and subrahmanyam, avanidhar and anshuman, v ravi",7
49,is information risk a determinant of asset returns ,"easley, david and hvidkjaer, soeren and o'hara, maureen",7
50,investment performance of common stocks in relation to their price earnings ratios  a test of the efficient market hypothesis,"basu, sanjoy",7
51,institutional investors and equity prices,"gompers, paul a and metrick, andrew",7
